Date,Adj Close,Close,High,Low,Open,Volume
2015-01-02,102.30318450927734,120.09848022460938,122.01545715332031,119.18791961669922,121.44036102294922,8538620
2015-01-05,100.4253158569336,117.89395904541016,119.85885620117188,117.51056671142578,119.85885620117188,8770735
2015-01-06,98.26165771484375,115.35396575927734,117.75018310546875,114.68302917480469,117.22301483154297,13304295
2015-01-07,98.30249786376953,115.40189361572266,116.8875503540039,114.92264556884766,116.02490997314453,9106535
2015-01-08,99.48641204833984,116.79170227050781,116.8396224975586,115.64151763916016,116.55207824707031,9019294
2015-01-09,98.09837341308594,115.16226959228516,117.55848693847656,114.77887725830078,117.51056671142578,9000055
2015-01-12,97.8942642211914,114.92264556884766,115.68943786621094,113.9162368774414,115.35396575927734,8945573
2015-01-13,97.40438842773438,114.3475570678711,116.5999984741211,113.24529266357422,116.26453399658203,8591202
2015-01-14,97.07782745361328,113.96416473388672,114.29962921142578,112.19095611572266,113.34114074707031,8732675
2015-01-15,96.2613525390625,113.00567626953125,114.87472534179688,112.90982818603516,114.3475570678711,6568703
2015-01-16,96.30215454101562,113.05359649658203,113.34114074707031,112.38265991210938,112.67020416259766,10390099
2015-01-20,97.36358642578125,114.29962921142578,114.39547729492188,112.86190032958984,114.251708984375,9298421
2015-01-21,98.13919830322266,115.21019744873047,115.40189361572266,113.62869262695312,114.20378112792969,7849930
2015-01-22,99.11896514892578,116.36038208007812,116.7437744140625,114.82679748535156,116.45623016357422,9834098
2015-01-23,99.93544006347656,117.3188705444336,119.28376770019531,116.4083023071289,117.0792465209961,13299850
2015-01-26,100.38449096679688,117.84603118896484,118.56490325927734,116.93547058105469,118.46905517578125,8174317
2015-01-27,99.5271987915039,116.8396224975586,117.22301483154297,115.97698211669922,116.8875503540039,8012228
2015-01-28,97.32274627685547,114.251708984375,117.36679077148438,114.1079330444336,117.27094268798828,10360866
2015-01-29,98.30249786376953,115.40189361572266,115.97698211669922,113.96416473388672,114.251708984375,8437544
