Date,Adj Close,Close,High,Low,Open,Volume
2015-01-02,41.411903381347656,65.88999938964844,66.4000015258789,65.44000244140625,65.44000244140625,5086100
2015-01-05,40.632572174072266,64.6500015258789,66.0999984741211,63.880001068115234,65.5,8007400
2015-01-06,40.431461334228516,64.33000183105469,65.75,63.70000076293945,65.62000274658203,5483700
2015-01-07,42.0655517578125,66.93000030517578,67.05000305175781,64.4800033569336,64.56999969482422,8283300
2015-01-08,42.5055046081543,67.62999725341797,68.29000091552734,67.41999816894531,68.16000366210938,7949000
2015-01-09,41.3427848815918,65.77999877929688,67.19999694824219,65.11000061035156,66.69000244140625,8779900
2015-01-12,41.33020782470703,65.76000213623047,66.93000030517578,65.30999755859375,66.33999633789062,6159800
2015-01-13,40.13976287841797,63.38999938964844,66.06999969482422,62.90999984741211,65.72000122070312,13908400
2015-01-14,40.3360481262207,63.70000076293945,64.06999969482422,61.86000061035156,62.619998931884766,9448300
2015-01-15,39.823143005371094,62.88999938964844,64.11000061035156,62.869998931884766,64.0,6149100
2015-01-16,40.86796188354492,64.54000091552734,64.62000274658203,62.63999938964844,62.95000076293945,8106000
2015-01-20,40.177764892578125,63.45000076293945,65.29000091552734,62.75,65.05999755859375,9065300
2015-01-21,39.702842712402344,62.70000076293945,63.45000076293945,62.279998779296875,63.099998474121094,7979500
2015-01-22,39.88013458251953,62.97999954223633,63.45000076293945,61.880001068115234,63.20000076293945,8941700
2015-01-23,39.531864166259766,62.43000030517578,63.65999984741211,62.349998474121094,63.65999984741211,6881100
2015-01-26,39.78515625,62.83000183105469,63.040000915527344,61.68000030517578,62.2599983215332,8181100
2015-01-27,39.95613098144531,63.099998474121094,63.5,62.20000076293945,62.33000183105469,6532300
2015-01-28,39.16459274291992,61.849998474121094,63.560001373291016,61.689998626708984,63.439998626708984,6910100
2015-01-29,39.968788146972656,63.119998931884766,63.380001068115234,61.59000015258789,62.119998931884766,8485600
2015-01-30,38.21476745605469,60.349998474121094,62.68000030517578,60.119998931884766,62.09000015258789,17582500
2015-02-02,38.4364128112793,60.70000076293945,61.4900016784668,58.650001525878906,61.4900016784668,11491100
2015-02-03,39.037967681884766,61.650001525878906,61.7599983215332,59.97999954223633,61.599998474121094,10721800
2015-02-04,36.036502838134766,56.90999984741211,58.95000076293945,56.650001525878906,58.95000076293945,31250600
2015-02-05,36.72037124633789,57.9900016784668,58.2599983215332,56.150001525878906,57.54999923706055,18964700
2015-02-06,36.03016662597656,56.900001525878906,57.83000183105469,56.689998626708984,57.709999084472656,13890900
2015-02-09,35.1309928894043,55.47999954223633,56.349998474121094,55.18000030517578,55.66999816894531,22522000
2015-02-10,36.02382278442383,56.88999938964844,57.0099983215332,55.599998474121094,55.93000030517578,18917000
2015-02-11,35.89718246459961,56.689998626708984,57.83000183105469,56.2599983215332,57.36000061035156,14681600
2015-02-12,36.125144958496094,57.04999923706055,57.58000183105469,56.15999984741211,57.400001525878906,11940900
2015-02-13,36.75836181640625,58.04999923706055,58.099998474121094,56.900001525878906,57.349998474121094,11303200
2015-02-17,37.1826171875,58.720001220703125,59.0,57.900001525878906,58.95000076293945,12789700
2015-02-18,37.51189422607422,59.2400016784668,59.47999954223633,58.310001373291016,59.150001525878906,10781700
2015-02-19,37.35992431640625,59.0,59.08000183105469,58.650001525878906,58.91999816894531,8665500
2015-02-20,38.81632995605469,61.29999923706055,61.34000015258789,59.220001220703125,59.61000061035156,15534000
2015-02-23,38.354087829589844,60.56999969482422,61.900001525878906,60.2400016784668,61.540000915527344,11582700
2015-02-24,38.54404830932617,60.869998931884766,61.29999923706055,60.52000045776367,60.849998474121094,7900700
2015-02-25,38.3857307434082,60.619998931884766,61.099998474121094,60.209999084472656,61.099998474121094,9983900
2015-02-26,38.32242202758789,60.52000045776367,60.810001373291016,60.27000045776367,60.349998474121094,7328200
2015-02-27,38.309749603271484,60.5,60.9900016784668,60.369998931884766,60.529998779296875,8649100
2015-03-02,38.284420013427734,60.459999084472656,60.75,60.060001373291016,60.5,6150900
2015-03-03,37.752532958984375,59.619998931884766,60.45000076293945,59.439998626708984,60.349998474121094,7421000
2015-03-04,38.16410827636719,60.27000045776367,60.41999816894531,59.029998779296875,59.31999969482422,8536000
2015-03-05,36.00483322143555,56.86000061035156,59.47999954223633,56.650001525878906,57.209999084472656,47051800
2015-03-06,35.2323112487793,55.63999938964844,57.400001525878906,55.439998626708984,56.95000076293945,22853000
2015-03-09,35.16898727416992,55.540000915527344,56.029998779296875,55.2599983215332,55.93000030517578,14779900
2015-03-10,35.358951568603516,55.84000015258789,56.29999923706055,54.779998779296875,55.220001220703125,17907700
2015-03-11,35.852867126464844,56.619998931884766,56.880001068115234,55.65999984741211,56.189998626708984,14629000
2015-03-12,36.726707458496094,58.0,58.90999984741211,56.650001525878906,56.779998779296875,18227800
2015-03-13,36.726707458496094,58.0,58.869998931884766,57.349998474121094,58.119998931884766,10114500
2015-03-16,37.435916900634766,59.119998931884766,59.70000076293945,58.33000183105469,58.459999084472656,12098700
2015-03-17,37.822174072265625,59.72999954223633,60.18000030517578,58.70000076293945,58.720001220703125,10983600
2015-03-18,37.923484802246094,59.88999938964844,60.41999816894531,59.25,59.7599983215332,11889200
2015-03-19,38.746673583984375,61.189998626708984,61.47999954223633,59.9900016784668,60.09000015258789,14110500
2015-03-20,38.246429443359375,60.400001525878906,61.72999954223633,60.31999969482422,61.5,13313100
2015-03-23,38.297088623046875,60.47999954223633,61.189998626708984,59.619998931884766,60.04999923706055,7926400
2015-03-24,37.75885772705078,59.630001068115234,60.81999969482422,59.45000076293945,60.650001525878906,7970000
2015-03-25,36.866004943847656,58.220001220703125,60.09000015258789,58.209999084472656,60.08000183105469,11619200
2015-03-26,36.26445388793945,57.27000045776367,58.09000015258789,57.220001220703125,57.97999954223633,10853900
2015-03-27,36.50508117675781,57.650001525878906,58.04999923706055,57.310001373291016,57.630001068115234,6830100
2015-03-30,36.87867736816406,58.2400016784668,58.34000015258789,57.790000915527344,57.93000030517578,5781900
2015-03-31,37.06864547729492,58.540000915527344,58.810001373291016,57.709999084472656,58.0099983215332,12313600
2015-04-01,36.156803131103516,57.099998474121094,58.4900016784668,56.33000183105469,58.47999954223633,14903300
2015-04-02,36.09980773925781,57.0099983215332,57.810001373291016,56.900001525878906,57.439998626708984,8787000
2015-04-06,36.4797477722168,57.61000061035156,57.88999938964844,56.68000030517578,56.810001373291016,10280100
2015-04-07,36.992652893066406,58.41999816894531,58.75,57.790000915527344,58.25,10171500
2015-04-08,37.23960876464844,58.810001373291016,58.97999954223633,57.95000076293945,58.5,11075800
2015-04-09,38.19576644897461,60.31999969482422,60.43000030517578,59.04999923706055,59.20000076293945,12698000
2015-04-10,39.25958251953125,62.0,62.33000183105469,60.31999969482422,60.5,17894700
2015-04-13,39.074424743652344,61.20000076293945,62.15999984741211,61.060001373291016,61.810001373291016,11400900
2015-04-14,39.406436920166016,61.720001220703125,61.810001373291016,60.5099983215332,61.400001525878906,13071400
2015-04-15,39.6043586730957,62.029998779296875,62.70000076293945,61.970001220703125,62.099998474121094,11534200
2015-04-16,39.9619026184082,62.59000015258789,62.90999984741211,61.650001525878906,61.79999923706055,9815600
2015-04-17,39.77035140991211,62.290000915527344,62.790000915527344,61.869998931884766,62.119998931884766,9905600
2015-04-20,40.568443298339844,63.540000915527344,64.0,62.79999923706055,62.90999984741211,12779200
2015-04-21,40.61315155029297,63.61000061035156,64.23999786376953,63.27000045776367,63.88999938964844,8457300
2015-04-22,41.19415283203125,64.5199966430664,64.7300033569336,63.560001373291016,63.599998474121094,13874300
2015-04-23,41.021766662597656,64.25,65.30999755859375,62.72999954223633,65.26000213623047,18405300
2015-04-24,42.183780670166016,66.06999969482422,66.37000274658203,64.13999938964844,64.30999755859375,14859500
2015-04-27,41.513389587402344,65.0199966430664,66.66000366210938,64.86000061035156,66.0199966430664,18141700
2015-04-28,42.45193862915039,66.48999786376953,66.48999786376953,64.19999694824219,64.5999984741211,13084900
2015-04-29,41.90285110473633,65.62999725341797,66.18000030517578,65.51000213623047,65.69999694824219,9864300
2015-04-30,41.28355026245117,64.66000366210938,65.91999816894531,64.31999969482422,65.38999938964844,10298600
2015-05-01,41.06645202636719,64.31999969482422,65.5,63.880001068115234,65.08999633789062,9870800
2015-05-04,41.296295166015625,64.68000030517578,65.44000244140625,64.01000213623047,64.31999969482422,8493500
2015-05-05,40.77275466918945,63.86000061035156,64.9000015258789,63.779998779296875,64.19999694824219,7635900
2015-05-06,40.82383728027344,63.939998626708984,64.52999877929688,63.400001525878906,64.11000061035156,8476300
2015-05-07,41.30905532836914,64.69999694824219,64.80999755859375,63.59000015258789,63.59000015258789,8638200
